,COUB,Country of birth,FBORN,Place of birth,EDU,Education level,DOS,Duration of stay,SEX,Sex,COU,Country of residence,Value,Flag Codes,Flags
450,NOAM,North America,1,Foreign-born,2,ISCED 3/4,1_3,Up to 5 years,2,Women,AUS,Australia,2248,,
451,NOAM,North America,1,Foreign-born,2,ISCED 3/4,1_3,Up to 5 years,1,Men,AUS,Australia,2592,,
452,NOAM,North America,1,Foreign-born,2,ISCED 3/4,1_3,Up to 5 years,ALL_SEX,Men and women,AUS,Australia,4840,,
456,NOAM,North America,1,Foreign-born,99,Unknown education,1_3,Up to 5 years,2,Women,AUS,Australia,470,,
457,NOAM,North America,1,Foreign-born,99,Unknown education,1_3,Up to 5 years,1,Men,AUS,Australia,510,,
458,NOAM,North America,1,Foreign-born,99,Unknown education,1_3,Up to 5 years,ALL_SEX,Men and women,AUS,Australia,980,,
462,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,1_3,Up to 5 years,2,Women,AUS,Australia,595,,
463,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,1_3,Up to 5 years,1,Men,AUS,Australia,580,,
464,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,1_3,Up to 5 years,ALL_SEX,Men and women,AUS,Australia,1175,,
468,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,1_3,Up to 5 years,2,Women,AUS,Australia,4373,,
469,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,1_3,Up to 5 years,1,Men,AUS,Australia,4255,,
470,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,1_3,Up to 5 years,ALL_SEX,Men and women,AUS,Australia,8628,,
474,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,1_3,Up to 5 years,2,Women,AUS,Australia,7686,,
475,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,1_3,Up to 5 years,1,Men,AUS,Australia,7937,,
476,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,1_3,Up to 5 years,ALL_SEX,Men and women,AUS,Australia,15623,,
480,NOAM,North America,1,Foreign-born,2,ISCED 3/4,5_6,More than 10 years,2,Women,AUS,Australia,6071,,
481,NOAM,North America,1,Foreign-born,2,ISCED 3/4,5_6,More than 10 years,1,Men,AUS,Australia,7453,,
482,NOAM,North America,1,Foreign-born,2,ISCED 3/4,5_6,More than 10 years,ALL_SEX,Men and women,AUS,Australia,13524,,
486,NOAM,North America,1,Foreign-born,99,Unknown education,5_6,More than 10 years,2,Women,AUS,Australia,1356,,
487,NOAM,North America,1,Foreign-born,99,Unknown education,5_6,More than 10 years,1,Men,AUS,Australia,1238,,
488,NOAM,North America,1,Foreign-born,99,Unknown education,5_6,More than 10 years,ALL_SEX,Men and women,AUS,Australia,2594,,
492,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,5_6,More than 10 years,2,Women,AUS,Australia,3696,,
493,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,5_6,More than 10 years,1,Men,AUS,Australia,2972,,
494,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,5_6,More than 10 years,ALL_SEX,Men and women,AUS,Australia,6668,,
498,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,5_6,More than 10 years,2,Women,AUS,Australia,10751,,
499,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,5_6,More than 10 years,1,Men,AUS,Australia,9891,,
500,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,5_6,More than 10 years,ALL_SEX,Men and women,AUS,Australia,20642,,
504,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,5_6,More than 10 years,2,Women,AUS,Australia,21874,,
505,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,5_6,More than 10 years,1,Men,AUS,Australia,21554,,
506,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,5_6,More than 10 years,ALL_SEX,Men and women,AUS,Australia,43428,,
510,NOAM,North America,1,Foreign-born,2,ISCED 3/4,4,5 to 10 years,2,Women,AUS,Australia,953,,
511,NOAM,North America,1,Foreign-born,2,ISCED 3/4,4,5 to 10 years,1,Men,AUS,Australia,1043,,
512,NOAM,North America,1,Foreign-born,2,ISCED 3/4,4,5 to 10 years,ALL_SEX,Men and women,AUS,Australia,1996,,
516,NOAM,North America,1,Foreign-born,99,Unknown education,4,5 to 10 years,2,Women,AUS,Australia,200,,
517,NOAM,North America,1,Foreign-born,99,Unknown education,4,5 to 10 years,1,Men,AUS,Australia,178,,
518,NOAM,North America,1,Foreign-born,99,Unknown education,4,5 to 10 years,ALL_SEX,Men and women,AUS,Australia,378,,
522,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,4,5 to 10 years,2,Women,AUS,Australia,358,,
523,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,4,5 to 10 years,1,Men,AUS,Australia,336,,
524,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,4,5 to 10 years,ALL_SEX,Men and women,AUS,Australia,694,,
528,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,4,5 to 10 years,2,Women,AUS,Australia,2008,,
529,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,4,5 to 10 years,1,Men,AUS,Australia,1794,,
530,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,4,5 to 10 years,ALL_SEX,Men and women,AUS,Australia,3802,,
534,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,4,5 to 10 years,2,Women,AUS,Australia,3519,,
535,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,4,5 to 10 years,1,Men,AUS,Australia,3351,,
536,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,4,5 to 10 years,ALL_SEX,Men and women,AUS,Australia,6870,,
540,NOAM,North America,1,Foreign-born,2,ISCED 3/4,99,Unknown duration of stay,2,Women,AUS,Australia,441,,
541,NOAM,North America,1,Foreign-born,2,ISCED 3/4,99,Unknown duration of stay,1,Men,AUS,Australia,541,,
542,NOAM,North America,1,Foreign-born,2,ISCED 3/4,99,Unknown duration of stay,ALL_SEX,Men and women,AUS,Australia,982,,
546,NOAM,North America,1,Foreign-born,99,Unknown education,99,Unknown duration of stay,2,Women,AUS,Australia,193,,
547,NOAM,North America,1,Foreign-born,99,Unknown education,99,Unknown duration of stay,1,Men,AUS,Australia,257,,
548,NOAM,North America,1,Foreign-born,99,Unknown education,99,Unknown duration of stay,ALL_SEX,Men and women,AUS,Australia,450,,
552,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,99,Unknown duration of stay,2,Women,AUS,Australia,254,,
553,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,99,Unknown duration of stay,1,Men,AUS,Australia,232,,
554,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,99,Unknown duration of stay,ALL_SEX,Men and women,AUS,Australia,486,,
558,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,99,Unknown duration of stay,2,Women,AUS,Australia,519,,
559,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,99,Unknown duration of stay,1,Men,AUS,Australia,488,,
560,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,99,Unknown duration of stay,ALL_SEX,Men and women,AUS,Australia,1007,,
564,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,99,Unknown duration of stay,2,Women,AUS,Australia,1407,,
565,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,99,Unknown duration of stay,1,Men,AUS,Australia,1518,,
566,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,99,Unknown duration of stay,ALL_SEX,Men and women,AUS,Australia,2925,,
570,NOAM,North America,1,Foreign-born,2,ISCED 3/4,ALL_DOS,All durations of stay,2,Women,AUS,Australia,9713,,
571,NOAM,North America,1,Foreign-born,2,ISCED 3/4,ALL_DOS,All durations of stay,1,Men,AUS,Australia,11629,,
572,NOAM,North America,1,Foreign-born,2,ISCED 3/4,ALL_DOS,All durations of stay,ALL_SEX,Men and women,AUS,Australia,21342,,
576,NOAM,North America,1,Foreign-born,99,Unknown education,ALL_DOS,All durations of stay,2,Women,AUS,Australia,2219,,
577,NOAM,North America,1,Foreign-born,99,Unknown education,ALL_DOS,All durations of stay,1,Men,AUS,Australia,2183,,
578,NOAM,North America,1,Foreign-born,99,Unknown education,ALL_DOS,All durations of stay,ALL_SEX,Men and women,AUS,Australia,4402,,
582,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,ALL_DOS,All durations of stay,2,Women,AUS,Australia,4903,,
583,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,ALL_DOS,All durations of stay,1,Men,AUS,Australia,4120,,
584,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,ALL_DOS,All durations of stay,ALL_SEX,Men and women,AUS,Australia,9023,,
588,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,ALL_DOS,All durations of stay,2,Women,AUS,Australia,17651,,
589,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,ALL_DOS,All durations of stay,1,Men,AUS,Australia,16428,,
590,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,ALL_DOS,All durations of stay,ALL_SEX,Men and women,AUS,Australia,34079,,
594,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,ALL_DOS,All durations of stay,2,Women,AUS,Australia,34486,,
595,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,ALL_DOS,All durations of stay,1,Men,AUS,Australia,34360,,
596,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,ALL_DOS,All durations of stay,ALL_SEX,Men and women,AUS,Australia,68846,,
2406,NOAM,North America,1,Foreign-born,2,ISCED 3/4,1_3,Up to 5 years,2,Women,BEL,Belgium,341,,
2407,NOAM,North America,1,Foreign-born,2,ISCED 3/4,1_3,Up to 5 years,1,Men,BEL,Belgium,175,,
2408,NOAM,North America,1,Foreign-born,2,ISCED 3/4,1_3,Up to 5 years,ALL_SEX,Men and women,BEL,Belgium,516,,
2412,NOAM,North America,1,Foreign-born,99,Unknown education,1_3,Up to 5 years,2,Women,BEL,Belgium,1785,,
2413,NOAM,North America,1,Foreign-born,99,Unknown education,1_3,Up to 5 years,1,Men,BEL,Belgium,1351,,
2414,NOAM,North America,1,Foreign-born,99,Unknown education,1_3,Up to 5 years,ALL_SEX,Men and women,BEL,Belgium,3136,,
2418,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,1_3,Up to 5 years,2,Women,BEL,Belgium,200,,
2419,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,1_3,Up to 5 years,1,Men,BEL,Belgium,179,,
2420,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,1_3,Up to 5 years,ALL_SEX,Men and women,BEL,Belgium,379,,
2424,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,1_3,Up to 5 years,2,Women,BEL,Belgium,1150,,
2425,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,1_3,Up to 5 years,1,Men,BEL,Belgium,1159,,
2426,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,1_3,Up to 5 years,ALL_SEX,Men and women,BEL,Belgium,2309,,
2430,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,1_3,Up to 5 years,2,Women,BEL,Belgium,3476,,
2431,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,1_3,Up to 5 years,1,Men,BEL,Belgium,2864,,
2432,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,1_3,Up to 5 years,ALL_SEX,Men and women,BEL,Belgium,6340,,
2436,NOAM,North America,1,Foreign-born,2,ISCED 3/4,5_6,More than 10 years,2,Women,BEL,Belgium,657,,
2437,NOAM,North America,1,Foreign-born,2,ISCED 3/4,5_6,More than 10 years,1,Men,BEL,Belgium,621,,
2438,NOAM,North America,1,Foreign-born,2,ISCED 3/4,5_6,More than 10 years,ALL_SEX,Men and women,BEL,Belgium,1278,,
2442,NOAM,North America,1,Foreign-born,99,Unknown education,5_6,More than 10 years,2,Women,BEL,Belgium,517,,
2443,NOAM,North America,1,Foreign-born,99,Unknown education,5_6,More than 10 years,1,Men,BEL,Belgium,481,,
2444,NOAM,North America,1,Foreign-born,99,Unknown education,5_6,More than 10 years,ALL_SEX,Men and women,BEL,Belgium,998,,
2448,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,5_6,More than 10 years,2,Women,BEL,Belgium,849,,
2449,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,5_6,More than 10 years,1,Men,BEL,Belgium,646,,
2450,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,5_6,More than 10 years,ALL_SEX,Men and women,BEL,Belgium,1495,,
2454,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,5_6,More than 10 years,2,Women,BEL,Belgium,1223,,
2455,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,5_6,More than 10 years,1,Men,BEL,Belgium,1112,,
2456,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,5_6,More than 10 years,ALL_SEX,Men and women,BEL,Belgium,2335,,
2460,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,5_6,More than 10 years,2,Women,BEL,Belgium,3246,,
2461,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,5_6,More than 10 years,1,Men,BEL,Belgium,2860,,
2462,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,5_6,More than 10 years,ALL_SEX,Men and women,BEL,Belgium,6106,,
2466,NOAM,North America,1,Foreign-born,2,ISCED 3/4,4,5 to 10 years,2,Women,BEL,Belgium,118,,
2467,NOAM,North America,1,Foreign-born,2,ISCED 3/4,4,5 to 10 years,1,Men,BEL,Belgium,92,,
2468,NOAM,North America,1,Foreign-born,2,ISCED 3/4,4,5 to 10 years,ALL_SEX,Men and women,BEL,Belgium,210,,
2472,NOAM,North America,1,Foreign-born,99,Unknown education,4,5 to 10 years,2,Women,BEL,Belgium,284,,
2473,NOAM,North America,1,Foreign-born,99,Unknown education,4,5 to 10 years,1,Men,BEL,Belgium,299,,
2474,NOAM,North America,1,Foreign-born,99,Unknown education,4,5 to 10 years,ALL_SEX,Men and women,BEL,Belgium,583,,
2478,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,4,5 to 10 years,2,Women,BEL,Belgium,81,,
2479,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,4,5 to 10 years,1,Men,BEL,Belgium,88,,
2480,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,4,5 to 10 years,ALL_SEX,Men and women,BEL,Belgium,169,,
2484,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,4,5 to 10 years,2,Women,BEL,Belgium,334,,
2485,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,4,5 to 10 years,1,Men,BEL,Belgium,365,,
2486,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,4,5 to 10 years,ALL_SEX,Men and women,BEL,Belgium,699,,
2490,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,4,5 to 10 years,2,Women,BEL,Belgium,817,,
2491,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,4,5 to 10 years,1,Men,BEL,Belgium,844,,
2492,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,4,5 to 10 years,ALL_SEX,Men and women,BEL,Belgium,1661,,
2496,NOAM,North America,1,Foreign-born,2,ISCED 3/4,99,Unknown duration of stay,2,Women,BEL,Belgium,1,,
